region_id,rel_region_id,mode,dir,ton,val
34007,175,all,out,18.93878117,19044.098
34007,176,all,out,426.7780665,475981.8104
34007,177,all,out,8.561348679,17849.78949
34007,178,all,out,20.2623014,292598.613
34007,179,all,out,469.3796781,551930.434
34007,18,all,out,182.0212465,593720.7133
34007,19,all,out,139.6020707,291450.7687
34007,2,all,out,25.00618762,229068.1855
34007,20,all,out,15.01905345,251981.9853
34007,21,all,out,16308.06814,11032140.1
34007,22,all,out,410602.7427,867772367.1
34007,23,all,out,41913.61913,79120346.67
34007,24,all,out,5135.427694,17284960.08
34007,25,all,out,54.7511662,61294.1837
34007,26,all,out,798.3522142,896947.0772
34007,27,all,out,92.6214795,107867.6519
34007,28,all,out,68.91626654,537760.592
34007,29,all,out,3360.604472,12058893.61
34007,3,all,out,81.43184509,91163.33344
34007,30,all,out,11157.15415,16861893.11
34007,31,all,out,11166.31657,32968043.7
34007,32,all,out,11700.79828,26208254.8
34007,33,all,out,134517.7306,223830053.7
34007,34,all,out,1961.056375,8501230.878
34007,34005,all,out,137065.0515,86955136.76
34007,34007,all,out,239944.5045,190106583.7
34007,34015,all,out,241910.544,166715118
34007,34021,all,out,316005.2722,87157560.37
34007,35,all,out,51619.04825,122635433.4
34007,36,all,out,112.4325713,182102.2532
34007,37,all,out,546.560799,611877.352
34007,38,all,out,711.8439624,7731906.251
34007,39,all,out,11.4843695,74968.71041
34007,4,all,out,114744.0193,158131855
34007,40,all,out,10535.91736,34446546.93
34007,41,all,out,889.7591496,6768204.552
34007,42,all,out,2832.215592,16013647.54
34007,42017,all,out,605963.0429,60249507.97
34007,42029,all,out,166794.249,30926574.31
34007,42045,all,out,120196.8956,77457654.26
34007,42091,all,out,622652.4741,64184107.73
34007,42101,all,out,169147.7753,89934011.13
34007,43,all,out,199.7465742,227046.75
34007,44,all,out,3531.854023,13082077.04
34007,45,all,out,2640.39501,4003697.41
34007,46,all,out,412.8706629,460271.7823
34007,47,all,out,8485.788385,69709337.67
34007,48,all,out,6.77691849,43527.1745
34007,49,all,out,32671.39616,24166583.14
34007,5,all,out,381.0111905,815548.4297
34007,50,all,out,323.5507734,363462.294
34007,51,all,out,362.0988539,1005270.817
34007,52,all,out,22425.0301,32976667.27
34007,53,all,out,163.9510678,325315.2577
34007,54,all,out,380.0339161,685215.6154
34007,55,all,out,6.24473335,19702.89087
34007,56,all,out,19.84361028,25994.61372
34007,57,all,out,40.49201914,92283.9796
34007,58,all,out,8.21823295,18752.00154
34007,59,all,out,159.9722551,753280.059
34007,6,all,out,60.4207738,67641.3411
34007,60,all,out,372.5786516,7537171.488
34007,61,all,out,27.18697544,61780.83461
34007,62,all,out,140.365913,157140.287
34007,63,all,out,131.9717558,191085.7716
34007,64,all,out,745.924802,5428346.85
34007,65,all,out,49.75509201,285862.3208
34007,66,all,out,18095.35487,49384009.29
34007,67,all,out,10201.48459,26675526.4
34007,68,all,out,1031.429382,11197570.17
34007,69,all,out,134.1240372,1594886.894
34007,7,all,out,170.844136,489814.994
34007,70,all,out,175312.5008,114103208.9
34007,71,all,out,6754.0587,14641216.2
34007,72,all,out,207934.7923,329752053
