SHIELD,HWY_NUM,STATE,WEB_ID,Name,Type,Owner,Shield_id,DIR_1,CAP_1,ACT_1A,ACT_1B,DEVICE_1,DIR_2,CAP_2,ACT_2A,ACT_2B,DEVICE_2,YEAR,SOURCE,SHLD_ID,Shape_Leng
I,76,PA,39,I 76 (Schuykill Expressway),Interstate Highway,PennDOT,76.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,76,13824.08534740000
I,76,PA,40,I 76 (Schuykill Expressway),Interstate Highway,PennDOT,76.00000000000,WB,2.00000000000,2046,8.8%,66356,EB,2.00000000000,2396,9.4%,,2010.00000000000,DVRPC,76,23226.10829500000
T,476,PA,25,I 476 (Pennsylvania Turnpike Northeast Extension),Interstate Highway,Pennsylvania Turnpike Commission,476.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,476,48934.59336390000
T,476,PA,26,I 476 (Pennsylvania Turnpike Northeast Extension),Interstate Highway,Pennsylvania Turnpike Commission,476.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,476,34970.70843390000
I,476,PA,27,I 476,Interstate Highway,PennDOT,476.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,476,12330.66007320000
I,476,PA,27,I 476,Interstate Highway,PennDOT,476.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,476,17258.55141720000
I,476,PA,30,I 476,Interstate Highway,PennDOT,476.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,476,35376.42636760000
T,276,PA,13,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,276.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,276,24838.13555060000
T,276,PA,14,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,276.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,276,13661.83950770000
T,276,PA,15,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,276.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,276,43624.81101160000
U,322,PA,62,US 322,Limited Access Highway,PennDOT,322.00000000000,WB,3.00000000000,n/a,n/a,,EB,2.00000000000,n/a,n/a,,0.00000000000,,322,5965.76978300000
U,130,NJ,61,US 130,Limited Access Highway,NJDOT,130.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,2013.00000000000,DVRPC,130,7561.34728984000
U,322,NJ,62,US 322,Limited Access Highway,NJDOT,322.00000000000,WB,3.00000000000,n/a,n/a,,EB,2.00000000000,n/a,n/a,,0.00000000000,,322,3681.57240723000
